프로그램명,요일1,요일2,요일3,요일4,요일5,시작시간,종료시간,금액,main_category,sub_category,headcount,center_id
한자교실,월,,,,,10:00:00,12:00:00,39000,어학,실내,개인,1
한글교실 초급,화,목,,,,09:30:00,11:00:00,33000,어학,실내,개인,1
한글교실 중급,화,목,,,,11:00:00,12:30:00,33000,어학,실내,개인,1
스마트영어 1,목,,,,,10:00:00,12:00:00,39000,어학,실내,개인,1
스마트영어 2,금,,,,,10:00:00,12:00:00,39000,어학,실내,개인,1
건강탁구 초급 1,월,수,,,,13:00:00,14:00:00,39000,운동,실내,단체,1
건강탁구 초급 2,월,수,,,,14:00:00,15:00:00,39000,운동,실내,개인,1
건강탁구 대회,화,수,금,,,15:00:00,16:00:00,39000,운동,실내,단체,1
건강탁구 자율심화,화,목,,,,16:00:00,17:00:00,39000,운동,실내,개인,1
토요탁구,토,,,,,09:00:00,12:00:00,36000,운동,실내,개인,1
토요당구 1,토,,,,,09:30:00,11:00:00,36000,운동,실외,단체,1
토요당구 2,토,,,,,11:00:00,12:30:00,36000,운동,실외,단체,1
맷돌체조 1,월,수,,,,13:00:00,14:00:00,39000,운동,실내,개인,1
맷돌체조 2,월,수,,,,14:00:00,15:00:00,39000,운동,실내,단체,1
웰빙요가 1,월,목,,,,10:00:00,11:00:00,39000,운동,실내,개인,1
웰빙요가 2,월,목,,,,11:00:00,12:00:00,39000,운동,실내,개인,1
웰빙요가 3,월,목,,,,12:00:00,13:00:00,39000,운동,실내,개인,1
해피 에어로빅,월,수,,,,09:00:00,10:00:00,39000,운동,실내,개인,1
뷰티풀 에어로빅,월,수,,,,10:00:00,11:00:00,39000,운동,실내,개인,1
한국무용 초급,화,금,,,,09:00:00,10:00:00,39000,예술,실내,개인,1
한국무용 중급,화,금,,,,10:00:00,11:00:00,39000,예술,실내,개인,1
라인댄스 초급 1,화,금,,,,10:00:00,11:00:00,39000,운동,실내,단체,1
라인댄스 초급 2,화,금,,,,12:00:00,13:00:00,39000,운동,실내,개인,1
라인댄스 중급,화,금,,,,11:00:00,12:00:00,39000,운동,실내,단체,1
실버댄스 초급,화,금,,,,13:00:00,14:00:00,39000,운동,실내,개인,1
실버댄스 중급,화,금,,,,14:00:00,15:00:00,39000,운동,실내,단체,1
실버댄스 고급,화,금,,,,15:00:00,16:00:00,39000,운동,실내,개인,1
시니어댄스 초급,목,,,,,10:00:00,12:00:00,39000,운동,실내,개인,1
시니어댄스 중급,목,,,,,13:00:00,15:00:00,39000,운동,실내,단체,1
시니어댄스 고급,목,,,,,15:00:00,17:00:00,39000,운동,실내,단체,1
민요우리가락,월,목,,,,11:00:00,12:00:00,18000,음악,실내,개인,1
드럼 자율반,월,목,,,,15:00:00,17:00:00,33000,음악,실내,단체,1
하모니카 초급,화,,,,,09:30:00,10:30:00,33000,음악,실내,개인,1
하모니카 중급,화,,,,,10:30:00,11:30:00,33000,음악,실내,개인,1
